Quelle,Typ,Kontakt,Datum gefragt,Status,Link-URL,Link live seit,rel-Attribut,Notiz
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Partnerbetrieb,,,,,,,
,Handwerkskammer,,,,,,,
,IHK / Wirtschaftsförderung,,,,,,,
,Regionale Presse,,,,,,,
,Lokalradio,,,,,,,
,Fachforum,,,,,,,
,Branchenverzeichnis,,,,,,,
,Nachbarschaftsportal,,,,,,,
